,Account,MacroAccount,Description
188,C197,COMMODITY,Prefabricated metal buildings and components
189,C198,COMMODITY,Fabricated steel plates and other fabricated structural metal
190,C199,COMMODITY,Metal windows and doors
191,C200,COMMODITY,Other ornamental and architectural metal products
192,C201,COMMODITY,"Light gauge metal containers, crowns and closures"
193,C202,COMMODITY,"Boilers, tanks and heavy gauge metal containers"
194,C203,COMMODITY,"Builders, motor vehicle and other hardware"
195,C204,COMMODITY,Springs and wire products
196,C205,COMMODITY,Threaded metal fasteners and other turned metal products including automotive
197,C206,COMMODITY,"Coating, engraving, heat treating and similar metal processing services"
198,C207,COMMODITY,"Hand tools, kitchen utensils and cutlery (except precious metal)"
199,C208,COMMODITY,Metal valves and pipe fittings
200,C209,COMMODITY,Ball and roller bearings
201,C210,COMMODITY,"Guns, ammunition and other munitions"
202,C211,COMMODITY,"Fabricated metal products, not elsewhere classified"
203,C212,COMMODITY,"Agricultural, lawn and garden machinery and equipment"
204,C213,COMMODITY,"Logging, mining and construction machinery and equipment"
205,C214,COMMODITY,Other industry-specific machinery
206,C215,COMMODITY,Commercial and service industry machinery
207,C216,COMMODITY,"Industrial and commercial fans, blowers and air purification equipment"
208,C217,COMMODITY,Heating and cooling equipment (except household refrigerators and freezers)
209,C218,COMMODITY,Metalworking machinery and industrial moulds
210,C219,COMMODITY,"Turbines, turbine generators, and turbine generator sets"
211,C220,COMMODITY,Other engine and power transmission equipment
212,C221,COMMODITY,Pumps and compressors (except fluid power)
213,C222,COMMODITY,Material handling equipment
214,C223,COMMODITY,Other miscellaneous general-purpose machinery
215,C224,COMMODITY,Parts of computers and computer peripheral (except printed circuit assemblies)
216,C225,COMMODITY,Computers and computer peripheral equipment
217,C226,COMMODITY,Telephone apparatus
218,C227,COMMODITY,Other communications equipment
219,C228,COMMODITY,Audio and video equipment and unrecorded media
220,C229,COMMODITY,Navigational and guidance instruments
221,C230,COMMODITY,"Measuring, medical and controlling devices"
222,C231,COMMODITY,Unrecorded magnetic and optical recording media
223,C232,COMMODITY,"Printed and integrated circuits, semiconductors and printed circuit assemblies"
224,C233,COMMODITY,Other electronic components
225,C234,COMMODITY,Electric light bulbs and tubes
226,C235,COMMODITY,Lighting fixtures
227,C236,COMMODITY,Small electric appliances
228,C237,COMMODITY,Major appliances
229,C238,COMMODITY,"Power, distribution and other transformers"
230,C239,COMMODITY,Electric motors and generators
231,C240,COMMODITY,"Switchgear, switchboards, relays and industrial control apparatus"
232,C241,COMMODITY,Batteries
233,C242,COMMODITY,Communication and electric wire and cable
234,C243,COMMODITY,Wiring devices
235,C244,COMMODITY,Other electrical equipment and components
236,C245,COMMODITY,Passenger cars
237,C246,COMMODITY,"Light-duty trucks, vans and sport utility vehicles (SUVs)"
238,C247,COMMODITY,Medium and heavy-duty trucks and chassis
239,C248,COMMODITY,Buses
240,C249,COMMODITY,Motor vehicle bodies and special purpose motor vehicles
241,C250,COMMODITY,Freight and utility trailers
242,C251,COMMODITY,"Motor homes, travel trailers and camping trailers"
243,C252,COMMODITY,Motor vehicle gasoline engines and engine parts
244,C253,COMMODITY,Motor vehicle electrical and electronic equipment and instruments
245,C254,COMMODITY,Motor vehicle steering and suspension components
246,C255,COMMODITY,Motor vehicle brakes and brake systems
247,C256,COMMODITY,Motor vehicle transmission and power train parts
248,C257,COMMODITY,"Motor vehicle interior trim, seats and seat parts"
249,C258,COMMODITY,Motor vehicle metal stamping
250,C259,COMMODITY,Other miscellaneous motor vehicle parts
251,C261,COMMODITY,Aircraft parts and other aerospace equipment
252,C262,COMMODITY,"Locomotives, railway rolling stock, and rapid transit equipment"
253,C263,COMMODITY,Parts of railway rolling stock
254,C264,COMMODITY,Ships
255,C265,COMMODITY,Boats and personal watercraft
256,C266,COMMODITY,Other transportation equipment and related parts
257,C267,COMMODITY,Wood kitchen cabinets and counter tops
258,C268,COMMODITY,Household furniture
259,C269,COMMODITY,"Institutional and other furniture, n.e.c."
260,C270,COMMODITY,Office furniture
261,C271,COMMODITY,Office and store fixtures
262,C272,COMMODITY,Mattresses and foundations
263,C273,COMMODITY,Blinds and shades
264,C274,COMMODITY,"Medical, dental and personal safety supplies, instruments and equipment"
265,C275,COMMODITY,Jewellery and silverware
266,C276,COMMODITY,Sporting and athletic goods
267,C277,COMMODITY,Toys and games
268,C278,COMMODITY,Office supplies (except paper)
269,C279,COMMODITY,Signs
270,C280,COMMODITY,Other miscellaneous manufactured products
271,C281,COMMODITY,"Custom work manufacturing services (except printing, finishing textiles and metals)"
272,C282,COMMODITY,Wholesale margins
273,C283,COMMODITY,Wholesale trade commissions
274,C284,COMMODITY,Retail margins
275,C285,COMMODITY,Used motor vehicles
276,C286,COMMODITY,Other used consumer goods
277,C287,COMMODITY,Retail trade commissions
278,C288,COMMODITY,Air passenger transportation services
279,C289,COMMODITY,Air freight transportation services
280,C290,COMMODITY,Air specialty services
281,C291,COMMODITY,Rail passenger transportation services
282,C292,COMMODITY,Rail freight transportation services
283,C293,COMMODITY,Water passenger transportation services
284,C294,COMMODITY,Water freight transportation services
285,C295,COMMODITY,Moving services
286,C296,COMMODITY,General freight truck transportation services
287,C297,COMMODITY,Specialized freight truck transportation services
288,C298,COMMODITY,Urban transit services
289,C299,COMMODITY,Interurban and rural bus passenger transportation services
290,C300,COMMODITY,School bus services
291,C301,COMMODITY,Other transit and passenger transportation services by road
292,C302,COMMODITY,Scenic and sightseeing tour services
293,C303,COMMODITY,Taxi and limousine services
294,C304,COMMODITY,Transportation of natural gas by pipeline
295,C305,COMMODITY,Transportation of crude oil and other commodities by pipeline
296,C306,COMMODITY,Air transportation support services
297,C307,COMMODITY,Aircraft maintenance and repair services
298,C308,COMMODITY,"Rail transportation support, maintenance and repair services"
299,C309,COMMODITY,"Water transportation support, maintenance and repair services"
300,C310,COMMODITY,Road transportation support services
301,C311,COMMODITY,Freight transportation arrangement and customs brokering services
302,C312,COMMODITY,Other transportation support services
303,C314,COMMODITY,Grain storage
304,C315,COMMODITY,Warehousing and storage services (except grain storage)
305,C316,COMMODITY,Newspapers
306,C317,COMMODITY,Advertising space in printed newspapers
307,C318,COMMODITY,Periodicals
308,C319,COMMODITY,Books
309,C320,COMMODITY,Other published products
310,C321,COMMODITY,Advertising space in printed periodicals and in other printed publications
311,C322,COMMODITY,"Licensing fees to distribute or reproduce published products, print and electronic"
312,C323,COMMODITY,General purpose software
313,C324,COMMODITY,"Recorded movies, television programs and videos"
314,C325,COMMODITY,"Movie, television program and video production, post-production and editing services"
315,C326,COMMODITY,Licensing of rights to use audiovisual works
316,C327,COMMODITY,Admissions to motion picture film exhibitions
317,C328,COMMODITY,Recorded music and other sound recordings
318,C329,COMMODITY,Audio recording services and copyright administration
319,C330,COMMODITY,Licensing of rights to use musical works and sound recordings
320,C331,COMMODITY,Advertising air time on radio
321,C332,COMMODITY,Advertising air time on television
322,C333,COMMODITY,Fees for the distribution of television and radio program channels (affiliation payments)
323,C334,COMMODITY,Fixed telecommunications services (except Internet access)
324,C335,COMMODITY,Mobile telecommunications services
325,C336,COMMODITY,"Cable, satellite and other program distribution services"
326,C337,COMMODITY,Fixed Internet access services
327,C338,COMMODITY,"Data processing, hosting, and related services"
328,C339,COMMODITY,Subscriptions for online content
329,C340,COMMODITY,Internet advertising
330,C341,COMMODITY,Other information services
331,C342,COMMODITY,Central banking services
332,C343,COMMODITY,Local credit union services - explicit charges (fees)
333,C344,COMMODITY,Banking and other depository credit intermediation services - explicit charges
334,C345,COMMODITY,Non-depository credit intermediation services - explicit charges (fees)
335,C346,COMMODITY,Other services related to credit intermediation
336,C347,COMMODITY,Investment banking services
337,C348,COMMODITY,Security brokerage and securities dealing services
338,C349,COMMODITY,Portfolio management services
339,C350,COMMODITY,Investment counselling services
340,C351,COMMODITY,Holding company services and other financial investment and related activities
341,C352,COMMODITY,Life insurance services
342,C353,COMMODITY,Accident and sickness insurance services
343,C354,COMMODITY,Automotive insurance services
344,C355,COMMODITY,Property insurance services
345,C356,COMMODITY,Liability and other property and casualty insurance services
346,C357,COMMODITY,Brokerage and other insurance related services
347,C358,COMMODITY,Trusteed pension fund services
348,C359,COMMODITY,Mutual funds (cost of service) and other similar services
349,C360,COMMODITY,Deposit intermediation services indirectly measured (FISIM)
350,C361,COMMODITY,Residential mortgage intermediation services indirectly measured (FISIM)
351,C362,COMMODITY,Other loan intermediation services indirectly measured (FISIM)
352,C363,COMMODITY,Rental of residential real estate
353,C364,COMMODITY,Rental of non-residential real estate
354,C365,COMMODITY,Imputed rental of owner-occupied dwellings
355,C366,COMMODITY,Real estate brokerage and other services related to real estate
356,C367,COMMODITY,Motor vehicle rental and leasing services
357,C368,COMMODITY,Computer equipment rental and leasing services
358,C369,COMMODITY,Office machinery and equipment (except computer equipment) rental and leasing services
359,C370,COMMODITY,Commercial and industrial machinery and equipment (except office equipment) rental and leasing services
360,C371,COMMODITY,Rental and leasing services of other goods
361,C372,COMMODITY,Licensing of rights to non-financial produced intangible assets (except software and other copyright licensing)
362,C373,COMMODITY,Legal services
363,C374,COMMODITY,"Accounting, tax preparation, bookkeeping and payroll services"
364,C375,COMMODITY,"Architectural, engineering and related services"
365,C376,COMMODITY,Specialized design services
366,C377,COMMODITY,Custom software design and development services
367,C378,COMMODITY,Own-account software design and development services
368,C379,COMMODITY,Computer systems design and related services (except software development)
369,C380,COMMODITY,"Management, scientific and technical consulting services"
370,C381,COMMODITY,Research and development services
371,C382,COMMODITY,Own-account research and development (except software development)
372,C383,COMMODITY,"Advertising, public relations and related services"
373,C384,COMMODITY,Photographic services
374,C385,COMMODITY,Veterinary services
375,C386,COMMODITY,"Other professional, scientific and technical services"
376,C387,COMMODITY,Holding company services (imputed)
377,C388,COMMODITY,Head office services (imputed)
378,C389,COMMODITY,Office administrative services
379,C390,COMMODITY,Employment services
380,C391,COMMODITY,Business support services
381,C392,COMMODITY,"Travel arrangement, reservation and planning services"
382,C393,COMMODITY,Investigation and security services
383,C394,COMMODITY,Services to buildings and dwellings
384,C395,COMMODITY,Facilities and other support services
385,C396,COMMODITY,Waste management and remediation services
386,C397,COMMODITY,Tuition and similar fees for elementary and secondary schools
387,C398,COMMODITY,Tuition and similar fees for colleges and C.E.G.E.P.s
388,C399,COMMODITY,Tuition and similar fees for universities
389,C400,COMMODITY,"Tuition and similar fees for trade, technical and professional training"
390,C401,COMMODITY,Other educational training and services
391,C402,COMMODITY,Physician services
392,C403,COMMODITY,Dental services
393,C404,COMMODITY,Other health practitioner services
394,C405,COMMODITY,Medical laboratory diagnostic and testing services
395,C406,COMMODITY,Ambulance services
396,C407,COMMODITY,Hospital services
397,C408,COMMODITY,Nursing and residential care services
398,C409,COMMODITY,Child day-care services
399,C410,COMMODITY,Other ambulatory health care services and social assistance services
400,C411,COMMODITY,Admissions to live sporting events
401,C412,COMMODITY,Admissions to live performing arts performances
402,C413,COMMODITY,Sport and performing arts event organization and support services
403,C414,COMMODITY,Career management and representation services of public figures
404,C415,COMMODITY,"Contract production of live performing arts performances, live sporting events and copyrighted works"
405,C416,COMMODITY,Licensing of rights to use copyrighted works and media rights
406,C417,COMMODITY,Technical artistic services
407,C418,COMMODITY,Heritage institution services
408,C419,COMMODITY,Amusement and recreation services
409,C420,COMMODITY,Gambling (net wagers)
410,C421,COMMODITY,Room or unit accommodation services for travellers
411,C422,COMMODITY,Recreational vehicle park and recreational camp services
412,C423,COMMODITY,Rooming and boarding services
413,C424,COMMODITY,Prepared meals
414,C425,COMMODITY,Alcoholic beverages for immediate consumption
415,C426,COMMODITY,Motor vehicle repair and maintenance services
416,C427,COMMODITY,Repair and maintenance services (except for buildings and motor vehicles)
417,C428,COMMODITY,Funeral services
418,C429,COMMODITY,Laundry and dry-cleaning services
419,C430,COMMODITY,Hair care and aesthetic services
420,C431,COMMODITY,Parking services
421,C432,COMMODITY,Other personal and personal care services
422,C433,COMMODITY,Other membership services
423,C434,COMMODITY,Babysitting services
424,C435,COMMODITY,Private household services (except babysitting)
425,C436,COMMODITY,Sales of other services by Non-Profit Institutions Serving Households
426,C437,COMMODITY,Sales of other government services
427,C438,COMMODITY,Repair and maintenance
428,C439,COMMODITY,Operating supplies
429,C440,COMMODITY,Office supplies
430,C441,COMMODITY,"Advertising, promotion, meals and entertainment"
431,C442,COMMODITY,"Travel, meetings and conventions"
432,C443,COMMODITY,Transportation margins
433,C444,COMMODITY,Educational services provided by Non-Profit Institutions Serving Households
434,C445,COMMODITY,Ambulatory health care services provided by Non-Profit Institutions Serving Households
435,C446,COMMODITY,Social assistance services provided by Non-Profit Institutions Serving Households
436,C447,COMMODITY,"Arts, entertainment and recreation services provided by Non-Profit Institutions Serving Households"
437,C448,COMMODITY,Religious services
438,C449,COMMODITY,"Grant-making, civic, and professional and similar organization services"
439,C450,COMMODITY,Labour organization membership services
440,C451,COMMODITY,Political organization services
441,C452,COMMODITY,Other services provided by Non-Profit Institutions Serving Households
442,C453,COMMODITY,Elementary and secondary school services provided by governments
443,C454,COMMODITY,Community college and C.E.G.E.P services provided by governments
444,C455,COMMODITY,University services provided by governments
445,C456,COMMODITY,Other educational services provided by governments
446,C457,COMMODITY,Hospital services provided by governments
447,C458,COMMODITY,Residential care facility services provided by governments
448,C459,COMMODITY,Defence services
449,C460,COMMODITY,Other federal government services
450,C461,COMMODITY,Other provincial and territorial government services
451,C462,COMMODITY,Other municipal government services
452,C463,COMMODITY,Other aboriginal government services
453,C473,COMMODITY,Copper ores and concentrates
454,C474,COMMODITY,Nickel ores and concentrates
455,C475,COMMODITY,Lead and zinc ores and concentrates
456,C476,COMMODITY,Radioactive ores and concentrates
457,C477,COMMODITY,Other metal ores and concentrates
458,C478,COMMODITY,"Stemmed, redried or reconstituted tobacco"
459,C479,COMMODITY,"Cigarettes, cigars, chewing and smoking tobacco"
460,C480,COMMODITY,Lubricants and other petroleum refinery products
461,C481,COMMODITY,Other petroleum and coal products
462,C482,COMMODITY,Bauxite and aluminum oxide
463,C483,COMMODITY,Unwrought aluminum including alloys
464,C484,COMMODITY,Unwrought copper including alloys
465,C485,COMMODITY,Unwrought nickel including alloys
466,C486,COMMODITY,Unwrought precious metals including alloys
467,C487,COMMODITY,Other unwrought non-ferrous metals including alloys
468,C488,COMMODITY,"Gold, store of value"
469,C489,COMMODITY,Aircraft
470,C490,COMMODITY,Aircraft engines
471,C491,COMMODITY,Postal services
472,C492,COMMODITY,"Courier, parcel, and local messenger and delivery services"
473,C493,COMMODITY,Fresh fruits and nuts
474,C494,COMMODITY,Other miscellaneous crop products
475,C495,COMMODITY,Conventional crude oil
476,C496,COMMODITY,Synthetic crude oil
477,C497,COMMODITY,Non-metallic minerals (except diamonds)
478,C498,COMMODITY,Flour and other grain mill products
479,C499,COMMODITY,"Grain and oilseed products, n.e.c."
480,C500,COMMODITY,Prefabricated wood and manufactured (mobile) buildings and components
481,C501,COMMODITY,"Wood products, n.e.c."
482,C502,COMMODITY,Lubricants and other petroleum refinery products
483,C503,COMMODITY,"Solid fuel products, n.e.c."
484,C504,COMMODITY,Other basic inorganic chemicals
485,C505,COMMODITY,Forged and stamped metal products
486,C506,COMMODITY,Other architectural metal products
487,C507,COMMODITY,"Fabricated metal products, n.e.c."
488,C508,COMMODITY,"Computers, computer peripherals and parts"
489,C509,COMMODITY,Medical devices
490,C510,COMMODITY,"Measuring, control and scientific instruments"
491,C511,COMMODITY,Small electric appliances
492,C512,COMMODITY,Major appliances
493,C513,COMMODITY,Office furniture
494,C514,COMMODITY,Office and store fixtures
495,C515,COMMODITY,Wholesale margins - farm products
496,C516,COMMODITY,Wholesale margins - petroleum and petroleum products
497,C517,COMMODITY,"Wholesale margins - food, beverages and tobacco products"
498,C518,COMMODITY,Wholesale margins - personal and household goods
499,C519,COMMODITY,"Wholesale margins - motor vehicles, motor vehicle parts and accessories"
500,C520,COMMODITY,Wholesale margins - building materials and supplies
501,C521,COMMODITY,"Wholesale margins - machinery, equipment and supplies"
502,C522,COMMODITY,Wholesale margins - miscellaneous products
503,C523,COMMODITY,Retail margins - motor vehicles and parts
504,C524,COMMODITY,Retail margins - furniture and home furnishings
505,C525,COMMODITY,Retail margins - electronics and appliances
506,C526,COMMODITY,"Retail margins - building materials, garden equipment and supplies"
507,C527,COMMODITY,Retail margins - food and beverages
508,C528,COMMODITY,Retail margins - health and personal care products
509,C529,COMMODITY,Retail margins - automotive fuels
510,C530,COMMODITY,Retail margins - clothing and clothing accessories
511,C531,COMMODITY,Retail margins - sporting and leisure products
512,C532,COMMODITY,Retail margins - miscellaneous products
513,C533,COMMODITY,Retail margins - household fuels
514,C534,COMMODITY,Truck transportation services for general freight
515,C535,COMMODITY,Truck transportation services for specialized freight
516,C536,COMMODITY,Licensing of rights to use literary works and artistic works (except software licensing)
517,C537,COMMODITY,Other information services
518,C538,COMMODITY,Broadcast and other media rights
519,C539,COMMODITY,"Cannabis plants, seeds and flowering tops"
520,C540,COMMODITY,"Cannabis products (except plants, seeds and flowering tops)"
521,C541,COMMODITY,Retail margins - miscellaneous products (except cannabis)
522,C542,COMMODITY,Retail margins - cannabis products (licensed)
523,C543,COMMODITY,Retail margins - cannabis products (unlicensed)
524,MRG_TRD,MARGIN,Trade margins
525,MRG_TNS,MARGIN,"Transportation, gas and storage margins"
526,I009,INDUSTRY,"Crop production (except cannabis, greenhouse, nursery and floriculture production)"
527,I010,INDUSTRY,"Greenhouse, nursery and floriculture production"
528,I011,INDUSTRY,Animal production (except aquaculture)
529,I012,INDUSTRY,Aquaculture
530,I013,INDUSTRY,Forestry and logging
531,I014,INDUSTRY,"Fishing, hunting and trapping"
532,I015,INDUSTRY,Support activities for crop and animal production
533,I016,INDUSTRY,Support activities for forestry
534,I017,INDUSTRY,Conventional oil and gas extraction
535,I018,INDUSTRY,Non-conventional oil extraction
536,I019,INDUSTRY,Coal mining
537,I020,INDUSTRY,Iron ore mining
538,I021,INDUSTRY,Gold and silver ore mining
539,I022,INDUSTRY,"Copper, nickel, lead and zinc ore mining"
540,I023,INDUSTRY,Other metal ore mining
541,I024,INDUSTRY,Stone mining and quarrying
542,I025,INDUSTRY,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying"
543,I026,INDUSTRY,Diamond mining
544,I027,INDUSTRY,Other non-metallic mineral mining and quarrying (except diamond and potash)
545,I028,INDUSTRY,Potash mining
546,I029,INDUSTRY,Support activities for oil and gas extraction
547,I030,INDUSTRY,Support activities for mining
548,I031,INDUSTRY,"Electric power generation, transmission and distribution"
549,I032,INDUSTRY,Natural gas distribution
550,I033,INDUSTRY,"Water, sewage and other systems"
551,I034,INDUSTRY,Residential building construction
552,I035,INDUSTRY,Non-residential building construction
553,I036,INDUSTRY,Transportation engineering construction
